"PROVINCE","DateName","tempC","Year"
"Agulhas","1950.01.16",22.3549778820717,1950
"Arctic","1950.01.16",-1.01493933188368,1950
"Benguela","1950.01.16",20.2151958511536,1950
"Cold Temperate Northeast Pacific","1950.01.16",5.61445594685418,1950
"Cold Temperate Northwest Atlantic","1950.01.16",6.02418021546615,1950
"Cold Temperate Northwest Pacific","1950.01.16",3.13661760519807,1950
"East Central Australian Shelf","1950.01.16",24.62467757331,1950
"Lusitanian","1950.01.16",16.7858497088388,1950
"Northern European Seas","1950.01.16",7.18141214330241,1950
"Northern New Zealand","1950.01.16",21.885927762304,1950
"Southeast Australian Shelf","1950.01.16",15.9715726046727,1950
"Southwest Australian Shelf","1950.01.16",18.9603347238505,1950
"Warm Temperate Northeast Pacific","1950.01.16",17.3016509826367,1950
"Warm Temperate Southeastern Pacific","1950.01.16",20.1229412215097,1950
"West Central Australian Shelf","1950.01.16",23.0946557181222,1950
"Agulhas","1950.02.15",22.3349413937085,1950
"Arctic","1950.02.15",-1.11787782741419,1950
"Benguela","1950.02.15",20.9737467478557,1950
"Cold Temperate Northeast Pacific","1950.02.15",4.92799338783537,1950
"Cold Temperate Northwest Atlantic","1950.02.15",4.80449649594356,1950
"Cold Temperate Northwest Pacific","1950.02.15",2.50427538305005,1950
"East Central Australian Shelf","1950.02.15",24.9581902398003,1950
"Lusitanian","1950.02.15",16.015332890837,1950
"Northern European Seas","1950.02.15",6.58603907557105,1950
"Northern New Zealand","1950.02.15",22.209447826658,1950
"Southeast Australian Shelf","1950.02.15",16.4414550847021,1950
"Southwest Australian Shelf","1950.02.15",19.5690004780607,1950
"Warm Temperate Northeast Pacific","1950.02.15",17.2444473138222,1950
"Warm Temperate Southeastern Pacific","1950.02.15",20.9526984351022,1950
"West Central Australian Shelf","1950.02.15",24.132557623727,1950
"Agulhas","1950.03.16",22.5341758466747,1950
"Arctic","1950.03.16",-1.13792954641336,1950
"Benguela","1950.03.16",20.7722379615508,1950
"Cold Temperate Northeast Pacific","1950.03.16",5.34990196228027,1950
"Cold Temperate Northwest Atlantic","1950.03.16",4.12856533226895,1950
"Cold Temperate Northwest Pacific","1950.03.16",2.9172323974601,1950
"East Central Australian Shelf","1950.03.16",24.7285669962565,1950
"Lusitanian","1950.03.16",16.1246805767085,1950
"Northern European Seas","1950.03.16",6.44828570226453,1950
"Northern New Zealand","1950.03.16",21.8121824434825,1950
"Southeast Australian Shelf","1950.03.16",16.9517094595679,1950
"Southwest Australian Shelf","1950.03.16",19.5881959807198,1950
"Warm Temperate Northeast Pacific","1950.03.16",16.9961929412989,1950
"Warm Temperate Southeastern Pacific","1950.03.16",20.456865149659,1950
"West Central Australian Shelf","1950.03.16",23.8157229832241,1950
"Agulhas","1950.04.16",21.3499065817219,1950
"Arctic","1950.04.16",-1.14411874588862,1950
"Benguela","1950.04.16",19.5729724010789,1950
"Cold Temperate Northeast Pacific","1950.04.16",5.68589893920081,1950
"Cold Temperate Northwest Atlantic","1950.04.16",4.68408701384624,1950
"Cold Temperate Northwest Pacific","1950.04.16",3.88498896391879,1950
"East Central Australian Shelf","1950.04.16",23.5854330274794,1950
"Lusitanian","1950.04.16",16.5532222050148,1950
"Northern European Seas","1950.04.16",6.7900947165939,1950
"Northern New Zealand","1950.04.16",21.0343124866486,1950
"Southeast Australian Shelf","1950.04.16",16.0639798312352,1950
"Southwest Australian Shelf","1950.04.16",18.7045563032042,1950
"Warm Temperate Northeast Pacific","1950.04.16",17.6074571701197,1950
"Warm Temperate Southeastern Pacific","1950.04.16",18.8820493809589,1950
"West Central Australian Shelf","1950.04.16",23.3867160252162,1950
"Agulhas","1950.05.16",20.2953346722747,1950
"Arctic","1950.05.16",-0.990646163701032,1950
"Benguela","1950.05.16",18.9285311641463,1950
"Cold Temperate Northeast Pacific","1950.05.16",6.35573808465685,1950
"Cold Temperate Northwest Atlantic","1950.05.16",7.47855491657833,1950
"Cold Temperate Northwest Pacific","1950.05.16",5.75599952389116,1950
"East Central Australian Shelf","1950.05.16",22.247579659356,1950
"Lusitanian","1950.05.16",17.7425918291079,1950
"Northern European Seas","1950.05.16",8.4154488208159,1950
"Northern New Zealand","1950.05.16",19.8138287237712,1950
"Southeast Australian Shelf","1950.05.16",15.330789714024,1950
"Southwest Australian Shelf","1950.05.16",18.13325548172,1950
"Warm Temperate Northeast Pacific","1950.05.16",18.004252571326,1950
"Warm Temperate Southeastern Pacific","1950.05.16",18.1884951715346,1950
"West Central Australian Shelf","1950.05.16",23.0263105119978,1950
"Agulhas","1950.06.16",19.3332573616341,1950
"Arctic","1950.06.16",-0.469588499715797,1950
"Benguela","1950.06.16",17.7241695243192,1950
"Cold Temperate Northeast Pacific","1950.06.16",8.41703543322427,1950
"Cold Temperate Northwest Atlantic","1950.06.16",12.3939846295577,1950
