"REALM","DateName","tempC","Year"
"Arctic","1950.01.16",-1.01493933188368,1950
"Temperate Australasia","1950.01.16",18.8274865403135,1950
"Temperate Northern Atlantic","1950.01.16",11.7583676299186,1950
"Temperate Northern Pacific","1950.01.16",6.68058067238098,1950
"Temperate South America","1950.01.16",15.9005367374553,1950
"Temperate Southern Africa","1950.01.16",20.3375991056413,1950
"Arctic","1950.02.15",-1.11787782741419,1950
"Temperate Australasia","1950.02.15",19.1440902612148,1950
"Temperate Northern Atlantic","1950.02.15",11.1077701393198,1950
"Temperate Northern Pacific","1950.02.15",6.08982611607573,1950
"Temperate South America","1950.02.15",16.5639168854715,1950
"Temperate Southern Africa","1950.02.15",20.7646316973691,1950
"Arctic","1950.03.16",-1.13792954641336,1950
"Temperate Australasia","1950.03.16",18.9948063255375,1950
"Temperate Northern Atlantic","1950.03.16",10.8908868973827,1950
"Temperate Northern Pacific","1950.03.16",6.46100269781445,1950
"Temperate South America","1950.03.16",16.1751060810805,1950
"Temperate Southern Africa","1950.03.16",20.6153821606321,1950
"Arctic","1950.04.16",-1.14411874588862,1950
"Temperate Australasia","1950.04.16",18.0804629627456,1950
"Temperate Northern Atlantic","1950.04.16",11.6507830389682,1950
"Temperate Northern Pacific","1950.04.16",7.2222451824558,1950
"Temperate South America","1950.04.16",15.076125623122,1950
"Temperate Southern Africa","1950.04.16",19.4876647019749,1950
"Arctic","1950.05.16",-0.990646163701032,1950
"Temperate Australasia","1950.05.16",17.23354419317,1950
"Temperate Northern Atlantic","1950.05.16",13.7365312735805,1950
"Temperate Northern Pacific","1950.05.16",8.6573732679261,1950
"Temperate South America","1950.05.16",13.8049638417235,1950
"Temperate Southern Africa","1950.05.16",18.6072344465304,1950
"Arctic","1950.06.16",-0.469588499715797,1950
"Temperate Australasia","1950.06.16",16.1067503546038,1950
"Temperate Northern Atlantic","1950.06.16",16.7351060682519,1950
"Temperate Northern Pacific","1950.06.16",11.1960286990372,1950
"Temperate South America","1950.06.16",12.967691292849,1950
"Temperate Southern Africa","1950.06.16",17.4381643527655,1950
"Arctic","1950.07.16",0.773986592640001,1950
"Temperate Australasia","1950.07.16",15.3196462468204,1950
"Temperate Northern Atlantic","1950.07.16",19.2726535632358,1950
"Temperate Northern Pacific","1950.07.16",14.4317080448175,1950
"Temperate South America","1950.07.16",11.8734748748148,1950
"Temperate Southern Africa","1950.07.16",16.5284091300771,1950
"Arctic","1950.08.16",1.60222898717422,1950
"Temperate Australasia","1950.08.16",14.6737939581912,1950
"Temperate Northern Atlantic","1950.08.16",20.2971498895144,1950
"Temperate Northern Pacific","1950.08.16",16.7249003044546,1950
"Temperate South America","1950.08.16",11.3419271730747,1950
"Temperate Southern Africa","1950.08.16",16.2025051988321,1950
"Arctic","1950.09.16",1.78579814368356,1950
"Temperate Australasia","1950.09.16",14.7131982624021,1950
"Temperate Northern Atlantic","1950.09.16",18.9278817202664,1950
"Temperate Northern Pacific","1950.09.16",15.7427613306776,1950
"Temperate South America","1950.09.16",11.2337736753496,1950
"Temperate Southern Africa","1950.09.16",16.2751805455552,1950
"Arctic","1950.10.16",0.621032013554099,1950
"Temperate Australasia","1950.10.16",15.2111394425743,1950
"Temperate Northern Atlantic","1950.10.16",16.9765752166267,1950
"Temperate Northern Pacific","1950.10.16",13.0269496085469,1950
"Temperate South America","1950.10.16",11.8729124235013,1950
"Temperate Southern Africa","1950.10.16",16.7246536651844,1950
"Arctic","1950.11.16",-0.327269778410549,1950
