"mean","se","p","lower_0.99","upper_0.99","lower_0.95","upper_0.95","lower_0.9","upper_0.9","lower_0.99_q","lower_0.95_q","lower_0.9_q","upper_0.9_q","upper_0.95_q","upper_0.99_q","SiteName","group_name","group_num","study_num","Rhat","Rhat_upper_CI","parameter","grouping","Period","Latitude","Longitude","maxTempChangeAnnual","se_maxTempChangeAnnual","meanTempChangeAnnual","se_meanTempChangeAnnual","Study","StudySite","trajectory_ID","minYear","maxYear","maxTempChangeAnnualSample","se_maxTempChangeAnnualSample","meanTempChangeAnnualSample","se_meanTempChangeAnnualSample","maxWaveChangeAnnualSample","se_maxWaveChangeAnnualSample","meanWaveChangeAnnualSample","se_maxWaveChangeAnnualSample.1","bigWaveYears"
0.0776394,0.0610287,0.896222,-0.0661297,0.231484,-0.0404618,0.195879,-0.0250673,0.174356,-0.0682226,-0.0379047,-0.0209077,0.179864,0.199276,0.23053,"Anderson_etal_ 2006-Surf Bay-13-1:Anderson_etal_ 2006","Namaqua",15,1,1.00226,1.0045,"site_slope","Ecoregion","1900-2015",-32.7949,17.7392,-0.0121698,0.00436141,-0.00539186,0.00228023,"Anderson_etal_ 2006","Anderson_etal_ 2006-Surf Bay-13-1",1,1997,1999,0.158534,0.168258,0.139437,0.0241085,-0.018,0.347565,0.0416226,0.0101676,0
0.0343942,0.0587257,0.717333,-0.113113,0.188397,-0.0757997,0.153295,-0.0605814,0.131833,-0.119514,-0.0809654,-0.0616193,0.131355,0.148475,0.183276,"Andrew_1991-2-13-3:Andrew_1991","Manning-Hawkesbury",14,2,1.00448,1.01692,"site_slope","Ecoregion","1900-2015",-33.9901,151.23,0.0188374,0.00288476,0.0222526,0.00205471,"Andrew_1991","Andrew_1991-2-13-3",3,1986,1988,0.076732,0.253037,0.281461,0.087286,NA,NA,NA,NA,NA
-0.0046195,0.0619447,0.470889,-0.162972,0.157182,-0.122494,0.116882,-0.104684,0.0966758,-0.162937,-0.123684,-0.104707,0.0965586,0.116709,0.156775,"Andrew_1991-3-13-4:Andrew_1991","Manning-Hawkesbury",14,2,1.00197,1.00801,"site_slope","Ecoregion","1900-2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0121883,0.0594621,0.584,-0.129776,0.169548,-0.10296,0.127683,-0.0883414,0.106924,-0.137907,-0.100053,-0.0850746,0.112104,0.131542,0.164546,"Andrew_1991-4-13-5:Andrew_1991","Manning-Hawkesbury",14,2,1.00051,1.00361,"site_slope","Ecoregion","1900-2015",-33.9941,151.237,0.0188374,0.00288476,0.0222526,0.00205471,"Andrew_1991","Andrew_1991-4-13-5",5,1986,1988,0.076732,0.253037,0.281461,0.087286,NA,NA,NA,NA,NA
-0.00443658,0.0611648,0.463556,-0.150264,0.16539,-0.122903,0.116289,-0.107295,0.092427,-0.163157,-0.124298,-0.104199,0.0967491,0.115555,0.156653,"Andrew_1991-5-13-6:Andrew_1991","Manning-Hawkesbury",14,2,1.00193,1.00596,"site_slope","Ecoregion","1900-2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.0018392,0.0617578,0.481111,-0.160471,0.159354,-0.118221,0.123382,-0.108908,0.0931219,-0.1612,-0.118287,-0.103322,0.101018,0.123311,0.159124,"Andrew_1991-6-13-7:Andrew_1991","Manning-Hawkesbury",14,2,1.00139,1.00602,"site_slope","Ecoregion","1900-2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.0612932,0.0597731,0.152222,-0.215379,0.100167,-0.180337,0.0529092,-0.15567,0.0393704,-0.21808,-0.176816,-0.157956,0.0374694,0.0564901,0.0984731,"Andrew_Jones_1990-Sydney_2-13-8:Andrew_Jones_1990","Manning-Hawkesbury",14,3,1.00232,1.01008,"site_slope","Ecoregion","1900-2015",-34.0102,151.232,0.0194554,0.00293467,0.0226435,0.0020975,"Andrew_Jones_1990","Andrew_Jones_1990-Sydney_2-13-8",8,1985,1988,0.152276,0.118267,0.12546,0.111386,NA,NA,NA,NA,NA
0.0220885,0.0506012,0.668889,-0.108386,0.14669,-0.0788695,0.115258,-0.0667792,0.0981509,-0.106996,-0.0751304,-0.0620731,0.103917,0.11969,0.149795,"Aus_Marmion-Marmion Lagoon_ Western Australia-13-10:Aus_Marmion","Houtman",11,4,1.00023,1.00174,"site_slope","Ecoregion","1900-2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.0106196,0.0345227,0.384222,-0.1033,0.0706259,-0.0782743,0.0544662,-0.0728766,0.0408997,-0.0988888,-0.0764856,-0.0695675,0.045883,0.0564793,0.0768386,"Aus_Marmion-Marmion-13-9:Aus_Marmion","Houtman",11,4,1.0021,1.00567,"site_slope","Ecoregion","1900-2015",-31.8333,115.7,0.0185354,0.00331944,0.0178685,0.00241486,"Aus_Marmion","Aus_Marmion-Marmion-13-9",9,1979,1983,0.128546,0.166119,0.1419,0.125094,NA,NA,NA,NA,NA
-0.00050352,0.0383617,0.496667,-0.0965195,0.106714,-0.0782656,0.0718865,-0.061927,0.0607831,-0.0998957,-0.0754744,-0.0613682,0.0617096,0.076163,0.103292,"Australia_WA_Wernberg-SH3-18-1:Australia_WA_Wernberg","Leeuwin",13,5,1.00163,1.00583,"site_slope","Ecoregion","1900-2015",-34.1387,115.008,0.0146093,0.00311666,0.0147157,0.00230694,"Australia_WA_Wernberg","Australia_WA_Wernberg-SH3-18-1",1,2006,2011,0.193689,0.142049,0.102468,0.0661775,0.0306286,0.214643,-0.00437682,0.040494,0
